prospect_id,start_date,acquisition_channel,country,age_group,device,product_interest,reached_step_1,reached_step_2,reached_step_3,reached_step_4,reached_step_5,reached_step_6,time_step1_min,time_step2_min,time_step3_min,time_step4_min,time_step5_min,completed_onboarding,last_step_reached,dropout_reason,acquisition_cost_eur,transactions_90d,avg_balance_90d_eur,product_upsell_90d,nps_score
PROS-00019,2024-09-20,Affiliate,Germany,35-44,Desktop,Current Account,1,1,1,0,0,0,2.6,1.3,2.8,0.0,0.0,0,Step 3: Personal Details Form,Session timeout,57.79,0,0.0,0,0
PROS-00020,2024-03-06,Paid Social,France,18-24,Mobile,Savings Account,1,1,0,0,0,0,13.6,11.6,0.0,0.0,0.0,0,Step 2: Account Type Selection,Session timeout,90.07,0,0.0,0,0
PROS-00021,2024-02-01,Referral Program,Netherlands,18-24,Desktop,Savings Account,1,1,1,1,1,1,3.9,9.9,24.2,10.8,3.1,1,Step 6: First Transaction,Completed,24.07,14,741.73,0,7
PROS-00022,2024-07-06,Affiliate,France,35-44,Mobile,Current Account,1,1,1,0,0,0,5.4,1.5,6.4,0.0,0.0,0,Step 3: Personal Details Form,Changed mind,53.28,0,0.0,0,0
PROS-00023,2024-04-13,Affiliate,Germany,45-54,Mobile,Savings Account,1,0,0,0,0,0,7.5,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Competitor offer,70.59,0,0.0,0,0
PROS-00024,2024-03-15,Direct,Spain,55+,Mobile,Business Account,1,1,1,1,0,0,4.0,3.4,5.3,5.3,0.0,0,Step 4: KYC Document Upload,Competitor offer,19.59,0,0.0,0,0
PROS-00025,2024-12-04,Direct,Spain,25-34,Mobile,Business Account,1,1,1,0,0,0,2.2,2.6,12.2,0.0,0.0,0,Step 3: Personal Details Form,Form too long,25.56,0,0.0,0,0
PROS-00026,2024-02-20,Referral Program,Netherlands,55+,Desktop,Current Account,1,1,1,1,1,1,6.9,6.1,5.7,2.1,1.5,1,Step 6: First Transaction,Completed,26.41,10,100.0,0,9
PROS-00027,2024-11-14,Paid Social,Netherlands,25-34,Mobile,Current Account,1,1,0,0,0,0,5.7,3.5,0.0,0.0,0.0,0,Step 2: Account Type Selection,Changed mind,84.13,0,0.0,0,0
PROS-00028,2024-11-20,Referral Program,Germany,45-54,Mobile,Savings Account,1,1,1,1,1,0,4.8,6.2,16.4,4.1,2.4,0,Step 5: Identity Verification,Competitor offer,25.02,0,0.0,0,0
PROS-00029,2024-11-08,Referral Program,Netherlands,55+,Tablet,Current Account,1,1,1,1,1,1,2.0,4.0,13.6,3.4,1.0,1,Step 6: First Transaction,Completed,30.03,16,327.85,0,8
PROS-00030,2024-11-22,Affiliate,Netherlands,25-34,Mobile,Investment Account,1,1,1,0,0,0,17.4,5.3,7.5,0.0,0.0,0,Step 3: Personal Details Form,Changed mind,63.56,0,0.0,0,0
PROS-00031,2024-11-18,Direct,Belgium,18-24,Mobile,Savings Account,1,1,1,1,1,1,14.5,1.5,21.8,23.2,1.1,1,Step 6: First Transaction,Completed,18.12,22,100.0,0,7
PROS-00032,2024-07-21,Referral Program,Netherlands,25-34,Desktop,Current Account,1,1,1,1,1,1,4.9,6.5,2.4,13.2,3.3,1,Step 6: First Transaction,Completed,22.72,19,4298.13,0,6
PROS-00033,2024-03-01,Affiliate,Belgium,25-34,Mobile,Business Account,1,0,0,0,0,0,1.5,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Unknown,64.69,0,0.0,0,0
PROS-00034,2024-09-28,Organic Search,Netherlands,45-54,Mobile,Savings Account,1,1,1,1,1,0,1.4,3.9,9.1,7.1,4.0,0,Step 5: Identity Verification,KYC document rejected,55.1,0,0.0,0,0
PROS-00035,2024-05-08,Paid Social,Netherlands,35-44,Mobile,Savings Account,1,1,1,1,1,1,4.1,1.7,10.5,5.6,2.2,1,Step 6: First Transaction,Completed,72.64,16,2914.34,1,7
PROS-00036,2024-12-26,Organic Search,Belgium,35-44,Mobile,Investment Account,1,1,1,1,1,1,5.0,7.4,14.2,4.6,2.1,1,Step 6: First Transaction,Completed,49.41,15,4748.91,0,8
PROS-00037,2024-11-03,Referral Program,France,25-34,Desktop,Current Account,1,1,1,1,1,1,3.5,7.6,5.7,16.6,4.0,1,Step 6: First Transaction,Completed,25.15,15,819.62,0,10
PROS-00038,2024-07-05,Referral Program,Spain,35-44,Mobile,Current Account,1,1,1,1,1,1,3.4,7.9,3.7,19.9,3.3,1,Step 6: First Transaction,Completed,22.39,14,1739.37,0,8
PROS-00039,2024-05-10,Direct,Germany,25-34,Mobile,Savings Account,1,1,1,0,0,0,12.6,9.7,4.8,0.0,0.0,0,Step 3: Personal Details Form,Competitor offer,16.81,0,0.0,0,0
PROS-00040,2024-01-17,Paid Social,Germany,25-34,Mobile,Current Account,1,1,0,0,0,0,3.0,3.0,0.0,0.0,0.0,0,Step 2: Account Type Selection,Verification delay,96.99,0,0.0,0,0
PROS-00041,2024-12-21,Affiliate,France,25-34,Mobile,Business Account,1,0,0,0,0,0,2.7,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,KYC document rejected,48.89,0,0.0,0,0
PROS-00042,2024-08-25,Paid Social,Belgium,25-34,Tablet,Savings Account,1,1,1,1,1,0,10.5,2.8,7.3,2.4,2.0,0,Step 5: Identity Verification,Unknown,87.68,0,0.0,0,0
PROS-00043,2024-04-25,Organic Search,Germany,25-34,Mobile,Investment Account,1,1,1,1,1,1,4.0,4.2,5.7,10.8,5.9,1,Step 6: First Transaction,Completed,57.44,18,1891.42,0,10
PROS-00044,2024-10-19,Organic Search,Netherlands,45-54,Mobile,Savings Account,1,1,1,1,1,0,3.6,2.2,3.1,17.4,4.3,0,Step 5: Identity Verification,KYC document rejected,40.86,0,0.0,0,0
PROS-00045,2024-06-20,Organic Search,Netherlands,25-34,Mobile,Current Account,1,1,1,1,1,0,9.9,4.2,7.9,12.3,2.7,0,Step 5: Identity Verification,Changed mind,52.32,0,0.0,0,0
PROS-00046,2024-02-08,Affiliate,Belgium,25-34,Mobile,Savings Account,1,1,1,0,0,0,12.3,2.8,17.7,0.0,0.0,0,Step 3: Personal Details Form,Verification delay,53.8,0,0.0,0,0
PROS-00047,2024-02-23,Organic Search,France,35-44,Mobile,Current Account,1,1,1,1,0,0,3.3,6.9,3.9,28.5,0.0,0,Step 4: KYC Document Upload,Session timeout,44.3,0,0.0,0,0
PROS-00048,2024-03-19,Paid Social,Spain,55+,Desktop,Current Account,1,1,1,0,0,0,1.6,4.6,16.0,0.0,0.0,0,Step 3: Personal Details Form,KYC document rejected,75.95,0,0.0,0,0
PROS-00049,2024-01-29,Organic Search,France,35-44,Desktop,Savings Account,1,1,1,1,1,0,3.0,4.3,25.0,13.9,1.3,0,Step 5: Identity Verification,KYC document rejected,39.88,0,0.0,0,0
PROS-00050,2024-09-02,Referral Program,Germany,35-44,Desktop,Savings Account,1,0,0,0,0,0,3.6,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Verification delay,26.13,0,0.0,0,0
PROS-00051,2024-04-02,Direct,France,45-54,Mobile,Current Account,1,1,1,1,1,1,12.4,1.9,2.1,7.4,2.5,1,Step 6: First Transaction,Completed,15.52,14,100.0,0,9
PROS-00052,2024-08-17,Referral Program,Germany,25-34,Desktop,Investment Account,1,1,1,1,0,0,9.9,4.6,8.5,5.8,0.0,0,Step 4: KYC Document Upload,Missing document,28.13,0,0.0,0,0
PROS-00053,2024-08-09,Paid Social,Belgium,35-44,Mobile,Business Account,1,1,1,1,1,0,24.2,7.3,5.6,40.0,2.5,0,Step 5: Identity Verification,Session timeout,72.64,0,0.0,0,0
PROS-00054,2024-08-13,Direct,France,25-34,Tablet,Savings Account,1,1,1,0,0,0,5.5,4.9,4.3,0.0,0.0,0,Step 3: Personal Details Form,Form too long,19.74,0,0.0,0,0
PROS-00055,2024-10-03,Direct,Belgium,35-44,Mobile,Current Account,1,0,0,0,0,0,5.2,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Unknown,16.94,0,0.0,0,0
PROS-00056,2024-05-18,Referral Program,Netherlands,25-34,Desktop,Current Account,1,1,1,1,1,1,7.2,2.3,13.9,33.7,3.6,1,Step 6: First Transaction,Completed,24.7,11,817.92,0,6
PROS-00057,2024-08-16,Branch Walk-in,Germany,25-34,Mobile,Business Account,1,1,1,1,1,1,12.6,1.3,4.8,12.1,3.6,1,Step 6: First Transaction,Completed,198.92,19,5525.83,0,8
PROS-00058,2024-11-26,Organic Search,France,25-34,Mobile,Investment Account,1,1,1,0,0,0,3.7,1.3,13.6,0.0,0.0,0,Step 3: Personal Details Form,Technical error,49.89,0,0.0,0,0
PROS-00059,2024-01-05,Organic Search,France,25-34,Desktop,Business Account,1,1,1,0,0,0,15.9,0.7,25.0,0.0,0.0,0,Step 3: Personal Details Form,Session timeout,35.19,0,0.0,0,0
PROS-00060,2024-03-21,Organic Search,France,45-54,Mobile,Current Account,1,1,1,1,1,0,8.5,3.2,8.0,19.4,1.8,0,Step 5: Identity Verification,Form too long,56.59,0,0.0,0,0
PROS-00061,2024-12-27,Organic Search,Germany,18-24,Desktop,Current Account,1,0,0,0,0,0,5.9,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,KYC document rejected,38.05,0,0.0,0,0
PROS-00062,2024-12-22,Direct,Belgium,35-44,Desktop,Business Account,1,1,1,1,1,1,13.8,4.1,2.7,3.1,2.0,1,Step 6: First Transaction,Completed,19.2,13,1976.1,0,7
PROS-00063,2024-04-27,Organic Search,France,45-54,Mobile,Current Account,1,1,1,1,1,1,6.9,3.9,10.6,4.7,4.1,1,Step 6: First Transaction,Completed,38.29,13,992.8,0,8
PROS-00064,2024-01-17,Direct,Spain,55+,Mobile,Current Account,1,1,1,0,0,0,1.2,3.9,4.5,0.0,0.0,0,Step 3: Personal Details Form,Technical error,20.62,0,0.0,0,0
PROS-00065,2024-12-07,Direct,Germany,35-44,Mobile,Business Account,1,0,0,0,0,0,3.3,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Technical error,21.19,0,0.0,0,0
PROS-00066,2024-01-01,Organic Search,Germany,25-34,Desktop,Current Account,1,1,1,1,1,0,9.1,3.0,3.7,7.2,4.4,0,Step 5: Identity Verification,Changed mind,55.44,0,0.0,0,0
PROS-00067,2024-11-05,Referral Program,Belgium,35-44,Mobile,Current Account,1,1,0,0,0,0,11.3,9.7,0.0,0.0,0.0,0,Step 2: Account Type Selection,Form too long,21.81,0,0.0,0,0
PROS-00068,2024-07-02,Paid Social,Germany,18-24,Mobile,Current Account,1,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Session timeout,73.81,0,0.0,0,0
PROS-00069,2024-08-05,Affiliate,Netherlands,18-24,Mobile,Current Account,1,1,1,1,1,0,7.6,1.3,7.3,14.3,1.8,0,Step 5: Identity Verification,Missing document,45.47,0,0.0,0,0
PROS-00070,2024-10-29,Paid Social,Netherlands,35-44,Mobile,Business Account,1,1,1,0,0,0,5.1,6.7,2.4,0.0,0.0,0,Step 3: Personal Details Form,Form too long,92.08,0,0.0,0,0
PROS-00071,2024-07-08,Affiliate,Germany,18-24,Tablet,Investment Account,1,1,0,0,0,0,11.4,5.4,0.0,0.0,0.0,0,Step 2: Account Type Selection,Competitor offer,63.73,0,0.0,0,0
PROS-00072,2024-04-26,Paid Social,Spain,35-44,Mobile,Investment Account,1,1,1,1,1,0,2.4,3.0,6.8,22.8,2.2,0,Step 5: Identity Verification,Competitor offer,92.61,0,0.0,0,0
PROS-00073,2024-01-18,Direct,Germany,35-44,Mobile,Current Account,1,1,0,0,0,0,2.6,2.4,0.0,0.0,0.0,0,Step 2: Account Type Selection,Form too long,22.55,0,0.0,0,0
PROS-00074,2024-09-21,Paid Social,Netherlands,18-24,Mobile,Investment Account,1,1,0,0,0,0,6.5,6.1,0.0,0.0,0.0,0,Step 2: Account Type Selection,Missing document,94.5,0,0.0,0,0
PROS-00075,2024-09-22,Direct,Netherlands,18-24,Mobile,Current Account,1,1,0,0,0,0,8.0,4.4,0.0,0.0,0.0,0,Step 2: Account Type Selection,Unknown,16.12,0,0.0,0,0
PROS-00076,2024-04-18,Organic Search,Germany,45-54,Mobile,Savings Account,1,1,0,0,0,0,12.1,4.9,0.0,0.0,0.0,0,Step 2: Account Type Selection,Changed mind,44.82,0,0.0,0,0
PROS-00077,2024-09-29,Affiliate,Spain,25-34,Mobile,Business Account,1,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Technical error,73.01,0,0.0,0,0
PROS-00078,2024-03-26,Referral Program,Netherlands,35-44,Desktop,Current Account,1,1,1,1,1,1,2.3,4.1,7.3,2.0,3.4,1,Step 6: First Transaction,Completed,25.76,12,902.2,0,10
PROS-00079,2024-07-09,Affiliate,Belgium,25-34,Mobile,Business Account,1,1,0,0,0,0,4.5,4.5,0.0,0.0,0.0,0,Step 2: Account Type Selection,Unknown,65.43,0,0.0,0,0
PROS-00080,2024-04-05,Direct,Germany,55+,Mobile,Savings Account,1,1,1,1,1,1,4.5,4.6,4.5,11.1,2.0,1,Step 6: First Transaction,Completed,19.73,9,1015.14,0,5
PROS-00081,2024-07-01,Direct,Germany,45-54,Mobile,Savings Account,1,1,1,0,0,0,12.8,4.1,1.3,0.0,0.0,0,Step 3: Personal Details Form,Form too long,19.14,0,0.0,0,0
PROS-00082,2024-02-04,Affiliate,Belgium,35-44,Mobile,Investment Account,1,1,0,0,0,0,6.1,3.8,0.0,0.0,0.0,0,Step 2: Account Type Selection,Competitor offer,68.31,0,0.0,0,0
PROS-00083,2024-12-17,Paid Social,France,25-34,Desktop,Current Account,1,1,1,1,1,1,8.9,8.0,11.4,9.7,4.0,1,Step 6: First Transaction,Completed,97.63,23,2323.32,0,7
PROS-00084,2024-07-14,Direct,Netherlands,25-34,Desktop,Current Account,1,1,0,0,0,0,4.2,9.1,0.0,0.0,0.0,0,Step 2: Account Type Selection,Missing document,17.61,0,0.0,0,0
PROS-00085,2024-08-23,Direct,Netherlands,18-24,Mobile,Savings Account,1,1,1,0,0,0,2.4,1.4,12.8,0.0,0.0,0,Step 3: Personal Details Form,KYC document rejected,16.04,0,0.0,0,0
PROS-00086,2024-05-05,Direct,Germany,35-44,Mobile,Current Account,1,0,0,0,0,0,0.8,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Technical error,18.95,0,0.0,0,0
PROS-00087,2024-11-10,Paid Social,France,45-54,Mobile,Savings Account,1,1,1,1,1,0,1.4,2.5,7.4,5.5,3.9,0,Step 5: Identity Verification,Changed mind,87.45,0,0.0,0,0
PROS-00088,2024-02-07,Organic Search,France,25-34,Desktop,Business Account,1,1,0,0,0,0,4.1,6.4,0.0,0.0,0.0,0,Step 2: Account Type Selection,Form too long,43.59,0,0.0,0,0
PROS-00089,2024-01-24,Referral Program,Germany,35-44,Mobile,Current Account,1,1,1,1,1,1,1.9,4.3,2.8,20.2,2.5,1,Step 6: First Transaction,Completed,21.67,19,3604.05,0,9
PROS-00090,2024-02-14,Paid Social,Spain,55+,Mobile,Current Account,1,0,0,0,0,0,7.2,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Session timeout,86.87,0,0.0,0,0
PROS-00091,2024-04-01,Organic Search,France,18-24,Mobile,Savings Account,1,1,1,1,0,0,0.5,2.8,9.9,22.6,0.0,0,Step 4: KYC Document Upload,KYC document rejected,40.76,0,0.0,0,0
PROS-00092,2024-04-19,Paid Social,Germany,25-34,Tablet,Current Account,1,1,1,1,0,0,1.9,2.2,24.6,12.3,0.0,0,Step 4: KYC Document Upload,Missing document,81.19,0,0.0,0,0
PROS-00093,2024-03-03,Direct,Germany,35-44,Mobile,Investment Account,1,1,1,1,1,1,4.7,8.6,16.3,27.3,4.0,1,Step 6: First Transaction,Completed,17.37,7,775.81,0,8
PROS-00094,2024-01-24,Affiliate,Netherlands,25-34,Desktop,Current Account,1,1,0,0,0,0,10.4,4.8,0.0,0.0,0.0,0,Step 2: Account Type Selection,Session timeout,58.81,0,0.0,0,0
PROS-00095,2024-10-24,Branch Walk-in,France,18-24,Desktop,Current Account,1,1,1,1,1,1,11.9,2.6,5.6,7.9,1.3,1,Step 6: First Transaction,Completed,159.62,24,130.47,0,9
PROS-00096,2024-01-31,Organic Search,Netherlands,18-24,Mobile,Business Account,1,1,1,1,1,1,11.7,3.3,3.6,6.6,2.7,1,Step 6: First Transaction,Completed,47.29,16,7448.98,0,9
PROS-00097,2024-07-18,Referral Program,Netherlands,55+,Tablet,Savings Account,1,1,1,1,1,0,7.5,3.2,25.0,4.4,5.6,0,Step 5: Identity Verification,Form too long,16.92,0,0.0,0,0
PROS-00098,2024-09-20,Paid Social,Netherlands,35-44,Mobile,Current Account,1,1,1,0,0,0,28.5,5.3,2.6,0.0,0.0,0,Step 3: Personal Details Form,Changed mind,94.19,0,0.0,0,0
PROS-00099,2024-02-01,Direct,France,35-44,Mobile,Savings Account,1,0,0,0,0,0,4.9,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Missing document,20.19,0,0.0,0,0
PROS-00100,2024-04-09,Organic Search,Germany,35-44,Mobile,Current Account,1,1,0,0,0,0,30.0,2.4,0.0,0.0,0.0,0,Step 2: Account Type Selection,Unknown,47.7,0,0.0,0,0
PROS-00101,2024-12-05,Organic Search,Netherlands,45-54,Tablet,Current Account,1,1,1,1,1,0,10.5,2.2,7.8,35.2,10.0,0,Step 5: Identity Verification,Form too long,37.43,0,0.0,0,0
PROS-00102,2024-12-08,Direct,Netherlands,35-44,Mobile,Current Account,1,0,0,0,0,0,2.8,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Unknown,17.46,0,0.0,0,0
PROS-00103,2024-01-21,Direct,Netherlands,18-24,Desktop,Investment Account,1,1,1,1,1,1,6.6,4.4,4.5,3.1,1.2,1,Step 6: First Transaction,Completed,23.29,17,3910.23,0,9
PROS-00104,2024-11-19,Organic Search,Netherlands,35-44,Mobile,Current Account,1,1,1,0,0,0,30.0,1.6,16.2,0.0,0.0,0,Step 3: Personal Details Form,Unknown,49.54,0,0.0,0,0
PROS-00105,2024-10-22,Paid Social,Germany,45-54,Mobile,Current Account,1,1,0,0,0,0,6.2,3.0,0.0,0.0,0.0,0,Step 2: Account Type Selection,KYC document rejected,88.76,0,0.0,0,0
PROS-00106,2024-12-02,Direct,France,25-34,Desktop,Current Account,1,1,1,0,0,0,3.2,2.3,6.2,0.0,0.0,0,Step 3: Personal Details Form,Session timeout,14.94,0,0.0,0,0
PROS-00107,2024-10-19,Paid Social,France,45-54,Mobile,Business Account,1,1,0,0,0,0,3.4,3.1,0.0,0.0,0.0,0,Step 2: Account Type Selection,KYC document rejected,108.47,0,0.0,0,0
PROS-00108,2024-05-05,Organic Search,France,18-24,Tablet,Investment Account,1,1,1,0,0,0,3.6,1.4,1.8,0.0,0.0,0,Step 3: Personal Details Form,Form too long,49.7,0,0.0,0,0
PROS-00109,2024-03-12,Organic Search,Spain,45-54,Mobile,Current Account,1,1,0,0,0,0,2.9,1.2,0.0,0.0,0.0,0,Step 2: Account Type Selection,KYC document rejected,43.55,0,0.0,0,0
PROS-00110,2024-02-19,Organic Search,Spain,25-34,Mobile,Current Account,1,1,1,1,1,1,2.6,1.8,1.3,1.9,4.3,1,Step 6: First Transaction,Completed,54.52,16,388.04,0,9
PROS-00111,2024-09-21,Paid Social,Netherlands,35-44,Desktop,Savings Account,1,1,1,1,1,1,9.1,3.4,13.5,8.9,1.7,1,Step 6: First Transaction,Completed,89.42,12,360.31,0,8
PROS-00112,2024-06-30,Organic Search,France,55+,Mobile,Investment Account,1,1,1,1,0,0,1.7,3.0,13.5,4.6,0.0,0,Step 4: KYC Document Upload,Technical error,54.97,0,0.0,0,0
PROS-00113,2024-12-09,Direct,Germany,35-44,Desktop,Current Account,1,1,0,0,0,0,7.8,1.0,0.0,0.0,0.0,0,Step 2: Account Type Selection,Missing document,22.46,0,0.0,0,0
PROS-00114,2024-09-08,Organic Search,Netherlands,45-54,Mobile,Current Account,1,1,1,1,1,1,1.0,7.4,10.6,3.8,1.5,1,Step 6: First Transaction,Completed,43.84,14,1417.5,0,9
PROS-00115,2024-06-13,Organic Search,Spain,55+,Mobile,Savings Account,1,1,0,0,0,0,6.5,4.1,0.0,0.0,0.0,0,Step 2: Account Type Selection,Unknown,47.6,0,0.0,0,0
PROS-00116,2024-07-02,Paid Social,France,25-34,Desktop,Investment Account,1,1,1,0,0,0,2.3,2.0,14.0,0.0,0.0,0,Step 3: Personal Details Form,Form too long,90.81,0,0.0,0,0
PROS-00117,2024-01-21,Organic Search,France,35-44,Desktop,Savings Account,1,1,1,1,1,1,2.7,2.0,7.2,22.2,3.4,1,Step 6: First Transaction,Completed,45.43,16,4495.92,0,5
PROS-00118,2024-05-06,Direct,Netherlands,45-54,Desktop,Current Account,1,1,1,1,1,1,12.3,2.4,22.0,7.8,9.5,1,Step 6: First Transaction,Completed,17.26,14,4319.95,0,10
PROS-00119,2024-05-22,Branch Walk-in,France,35-44,Desktop,Savings Account,1,1,1,1,1,1,4.6,3.9,9.5,18.5,1.8,1,Step 6: First Transaction,Completed,169.2,19,837.52,0,7
PROS-00120,2024-07-17,Direct,Netherlands,45-54,Tablet,Investment Account,1,0,0,0,0,0,5.8,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,KYC document rejected,15.87,0,0.0,0,0
PROS-00121,2024-08-15,Direct,Germany,18-24,Desktop,Savings Account,1,1,1,1,1,1,7.0,4.5,10.6,1.9,3.3,1,Step 6: First Transaction,Completed,24.13,11,4207.96,0,8
PROS-00122,2024-12-13,Organic Search,Netherlands,35-44,Desktop,Business Account,1,0,0,0,0,0,13.1,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Competitor offer,56.77,0,0.0,0,0
PROS-00123,2024-07-05,Referral Program,France,25-34,Desktop,Business Account,1,1,1,1,1,1,1.8,1.3,11.7,15.1,10.0,1,Step 6: First Transaction,Completed,29.3,15,1032.34,0,7
PROS-00124,2024-07-14,Paid Social,Netherlands,25-34,Mobile,Current Account,1,0,0,0,0,0,6.8,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Changed mind,78.75,0,0.0,0,0
PROS-00125,2024-10-21,Referral Program,Spain,18-24,Mobile,Savings Account,1,1,1,1,1,1,11.8,6.6,3.7,17.8,4.8,1,Step 6: First Transaction,Completed,29.94,18,698.33,0,4
PROS-00126,2024-10-25,Direct,Germany,18-24,Mobile,Current Account,1,1,1,1,0,0,5.0,1.3,12.5,34.1,0.0,0,Step 4: KYC Document Upload,Verification delay,23.04,0,0.0,0,0
PROS-00127,2024-05-22,Organic Search,Belgium,35-44,Desktop,Investment Account,1,1,1,1,1,0,3.0,2.2,8.5,10.1,1.8,0,Step 5: Identity Verification,Competitor offer,38.09,0,0.0,0,0
PROS-00128,2024-04-14,Paid Social,France,25-34,Mobile,Current Account,1,1,1,0,0,0,4.6,6.3,3.6,0.0,0.0,0,Step 3: Personal Details Form,KYC document rejected,68.51,0,0.0,0,0
PROS-00129,2024-06-20,Affiliate,Netherlands,18-24,Mobile,Investment Account,1,1,0,0,0,0,8.4,4.1,0.0,0.0,0.0,0,Step 2: Account Type Selection,KYC document rejected,57.12,0,0.0,0,0
PROS-00130,2024-04-02,Paid Social,Germany,18-24,Desktop,Investment Account,1,1,1,1,1,1,6.8,4.8,2.3,11.0,2.9,1,Step 6: First Transaction,Completed,116.71,16,772.98,0,6
